customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,num_support_tickets,senior_citizen,churn
CUST_0001,15,22.25,333.75,one-year,bank_transfer,fiber_optic,2,0,0
CUST_0002,70,27.82,1947.4,one-year,credit_card,fiber_optic,1,0,0
CUST_0003,4,70.51,282.04,two-year,mailed_check,fiber_optic,7,1,0
CUST_0004,1,88.29,88.29,month-to-month,mailed_check,dsl,4,0,1
CUST_0005,44,29.2,1284.8,one-year,credit_card,dsl,5,1,0
CUST_0006,59,68.26,4027.34,one-year,credit_card,none,4,1,0
CUST_0007,9,24.12,217.08,month-to-month,electronic_check,fiber_optic,3,0,1
CUST_0008,59,77.21,4555.39,one-year,bank_transfer,dsl,5,0,0
CUST_0009,10,74.82,748.2,month-to-month,bank_transfer,fiber_optic,7,1,1
CUST_0010,72,39.77,2863.44,one-year,credit_card,fiber_optic,0,1,0
CUST_0011,9,38.99,350.91,two-year,electronic_check,fiber_optic,7,1,0
CUST_0012,59,32.86,1938.74,month-to-month,bank_transfer,none,8,1,0
CUST_0013,55,100.8,5544.0,one-year,electronic_check,fiber_optic,2,1,1
CUST_0014,7,97.5,682.5,month-to-month,bank_transfer,none,6,0,1
CUST_0015,60,67.62,4057.2,two-year,credit_card,none,1,1,0
CUST_0016,44,30.04,1321.76,one-year,bank_transfer,dsl,0,1,0
CUST_0017,23,65.69,1510.87,month-to-month,electronic_check,none,8,0,1
CUST_0018,21,68.54,1439.34,two-year,credit_card,none,5,1,1
CUST_0019,47,99.08,4656.76,one-year,bank_transfer,fiber_optic,3,0,1
CUST_0020,63,93.44,5886.72,two-year,bank_transfer,fiber_optic,7,0,1
CUST_0021,55,106.79,5873.45,two-year,bank_transfer,none,4,1,0
CUST_0022,48,59.43,2852.64,two-year,mailed_check,fiber_optic,3,0,1
CUST_0023,3,72.95,218.85,month-to-month,bank_transfer,fiber_optic,1,0,1
CUST_0024,5,97.37,486.85,month-to-month,bank_transfer,dsl,7,0,1
CUST_0025,61,41.87,2554.07,one-year,mailed_check,fiber_optic,1,0,0
CUST_0026,46,58.12,2673.52,one-year,credit_card,none,1,0,0
CUST_0027,44,92.05,4050.2,month-to-month,bank_transfer,fiber_optic,3,1,1
CUST_0028,24,45.07,1081.68,month-to-month,credit_card,dsl,8,0,1
CUST_0029,70,95.24,6666.8,month-to-month,bank_transfer,fiber_optic,6,1,1
CUST_0030,52,101.22,5263.44,month-to-month,mailed_check,fiber_optic,6,1,0
CUST_0031,59,45.67,2694.53,two-year,mailed_check,fiber_optic,3,1,0
CUST_0032,8,72.13,577.04,two-year,credit_card,none,5,0,1
CUST_0033,62,65.26,4046.12,two-year,bank_transfer,fiber_optic,8,0,0
CUST_0034,9,73.55,661.95,two-year,bank_transfer,dsl,1,0,0
CUST_0035,6,75.74,454.44,one-year,electronic_check,dsl,3,1,1
CUST_0036,51,31.78,1620.78,two-year,electronic_check,dsl,5,0,1
CUST_0037,13,26.59,345.67,month-to-month,electronic_check,fiber_optic,5,0,0
CUST_0038,48,45.65,2191.2,one-year,electronic_check,none,8,0,0
CUST_0039,71,46.94,3332.74,two-year,credit_card,fiber_optic,4,0,0
CUST_0040,71,33.99,2413.29,one-year,bank_transfer,none,5,0,0
CUST_0041,34,65.49,2226.66,one-year,credit_card,fiber_optic,6,1,1
CUST_0042,43,89.4,3844.2,two-year,electronic_check,fiber_optic,7,1,0
CUST_0043,15,26.77,401.55,two-year,bank_transfer,none,0,1,0
CUST_0044,19,58.68,1114.92,month-to-month,electronic_check,dsl,0,1,1
CUST_0045,32,80.02,2560.64,one-year,mailed_check,none,2,0,0
CUST_0046,23,99.33,2284.59,month-to-month,bank_transfer,none,5,1,0
CUST_0047,32,44.01,1408.32,two-year,credit_card,dsl,0,1,0
CUST_0048,59,51.47,3036.73,month-to-month,bank_transfer,fiber_optic,3,1,1
CUST_0049,9,107.02,963.18,one-year,electronic_check,none,8,1,0
CUST_0050,69,49.8,3436.2,month-to-month,credit_card,dsl,2,1,1
CUST_0051,56,51.11,2862.16,one-year,mailed_check,none,8,0,0
CUST_0052,25,42.93,1073.25,two-year,mailed_check,fiber_optic,8,0,0
CUST_0053,9,105.4,948.6,one-year,electronic_check,none,1,1,0
CUST_0054,53,49.36,2616.08,two-year,electronic_check,none,2,0,0
CUST_0055,49,80.96,3967.04,month-to-month,electronic_check,dsl,8,0,1
CUST_0056,27,58.69,1584.63,two-year,electronic_check,dsl,7,1,0
CUST_0057,66,62.59,4130.94,two-year,bank_transfer,none,1,1,0
CUST_0058,43,28.4,1221.2,month-to-month,electronic_check,fiber_optic,3,0,1
CUST_0059,32,108.55,3473.6,two-year,credit_card,dsl,6,0,0
CUST_0060,50,64.49,3224.5,month-to-month,bank_transfer,none,0,0,0
CUST_0061,29,35.83,1039.07,two-year,mailed_check,fiber_optic,8,0,0
CUST_0062,16,61.08,977.28,one-year,electronic_check,dsl,9,1,0
CUST_0063,71,60.13,4269.23,month-to-month,mailed_check,dsl,4,0,0
CUST_0064,36,88.92,3201.12,two-year,mailed_check,none,3,1,0
CUST_0065,37,41.1,1520.7,one-year,electronic_check,none,1,0,0
CUST_0066,50,82.46,4123.0,two-year,bank_transfer,fiber_optic,6,1,1
CUST_0067,60,57.42,3445.2,month-to-month,mailed_check,dsl,9,0,0
CUST_0068,49,62.93,3083.57,one-year,electronic_check,dsl,6,0,0
CUST_0069,35,59.23,2073.05,month-to-month,mailed_check,dsl,6,0,0
CUST_0070,17,108.26,1840.42,two-year,credit_card,dsl,9,0,1
CUST_0071,55,32.21,1771.55,one-year,bank_transfer,fiber_optic,4,1,0
CUST_0072,59,49.42,2915.78,one-year,electronic_check,dsl,4,0,0
CUST_0073,70,24.69,1728.3,one-year,bank_transfer,none,1,0,0
CUST_0074,32,37.94,1214.08,month-to-month,bank_transfer,fiber_optic,2,1,0
CUST_0075,28,61.85,1731.8,one-year,electronic_check,fiber_optic,9,0,0
CUST_0076,21,106.82,2243.22,month-to-month,credit_card,dsl,9,1,1
CUST_0077,26,26.84,697.84,two-year,bank_transfer,fiber_optic,4,0,0
CUST_0078,6,51.25,307.5,one-year,electronic_check,fiber_optic,8,1,1
CUST_0079,54,94.01,5076.54,month-to-month,mailed_check,dsl,7,0,1
CUST_0080,67,106.89,7161.63,one-year,mailed_check,dsl,6,1,1
CUST_0081,32,94.77,3032.64,month-to-month,electronic_check,dsl,3,1,0
